NAME,TYPE,MAG,SIZE,RA,DEC
NGC1566,Galaxy,9.7,8.2',04 20.0,-54 56
NGC1647,cluster,6.4,45',04 45.9,+19 06
NGC1664,cluster,7.6,18',04 51.1,+43 41
NGC1672,Galaxy,9.7,6.7',04 45.7,-59 15
NGC1788,nebula,-,5',05 06.9,-03 20
NGC1792,Galaxy,10.2,5.6',05 05.2,-37 59
NGC1808,Galaxy,9.9,6.3',05 07.7,-37 31
NGC1817,cluster,7.7,16',05 12.4,+16 41
NGC1851,cluster,7.1,11',05 14.1,-40 03
NGC1857,cluster,7,6',05 20.1,+39 21
NGC1907,cluster,8.2,7',05 28.1,+35 20
NGC1909,nebula,-,180',05 04.5,-07 16
NGC1931,nebula,10.1,3',05 31.4,+34 15
NGC1961,Galaxy,11,4.5',05 42.1,+69 23
NGC1964,Galaxy,10.8,5.5',05 33.4,-21 57
NGC1973,nebula,7,5',05 35.1,-04 44
NGC1980,nebula,2.5,14',05 35.4,-05 55
NGC1999,nebula,-,2',05 36.4,-06 43
NGC2022,nebula,11.7,28'',05 42.1,+09 05
NGC2024,nebula,-,30',05 41.7,-01 51
NGC2126,cluster,10.2,6',06 02.5,+49 52
NGC2129,cluster,6.7,7',06 00.7,+23 19
NGC2158,cluster,8.6,5',06 07.4,+24 06
NGC2169,cluster,5.9,7',06 08.4,+13 58
NGC2175,nebula,6.8,18',06 09.6,+20 29
NGC2185,nebula,-,2',06 11.0,-06 14
NGC2186,cluster,8.7,4',06 12.1,+05 28
NGC2194,cluster,8.5,10',06 13.8,+12 48
NGC2204,cluster,8.6,13',06 15.5,-18 40
NGC2207,Galaxy,10.8,4.2',06 16.4,-21 22
NGC2215,cluster,8.4,11',06 20.8,-07 17
NGC2232,cluster,3.9,30',06 28.0,-04 51
NGC2237,nebula,5.5,80',06 30.9,+05 03
NGC2238,nebula,6,80',06 30.7,+05 01
NGC2239,cluster,4.8,24',06 31.9,+04 57
NGC2245,nebula,-,2',06 32.7,+10 09
NGC2251,cluster,7.3,10',06 34.6,+08 22
NGC2261,nebula,-,2',06 39.2,+08 45
NGC2264,nebula,3.9,20',06 41.0,+09 54
NGC2266,cluster,9.5,7',06 43.3,+26 58
NGC2281,cluster,5.4,15',06 48.3,+41 05
NGC2286,cluster,7.5,15',06 47.7,-03 09
NGC2300,Galaxy,11,3.5',07 32.3,+85 43
NGC2301,cluster,6,12',06 51.8,+00 28
NGC2304,cluster,10,5',06 55.2,+17 59
NGC2311,cluster,9.6,7',06 57.8,-04 37
NGC2324,cluster,8.4,8',07 04.1,+01 03
NGC2335,cluster,7.2,12',07 06.8,-10 02
NGC2343,cluster,6.7,7',07 08.1,-10 37
NGC2346,nebula,12.5,60'',07 09.4,-00 48
NGC2353,cluster,7.1,20',07 14.5,-10 16
NGC2354,cluster,6.5,20',07 14.3,-25 42
NGC2355,cluster,9.7,9',07 17.0,+13 45
NGC2359,nebula,-,10',07 18.5,-13 14
NGC2360,cluster,7.2,13',07 17.7,-15 38
NGC2362,cluster,4.1,8',07 18.7,-24 57
NGC2371,nebula,11.2,74'',07 25.6,+29 29
NGC2372,nebula,11.2,74'',07 25.6,+29 30
NGC2383,cluster,8.4,6',07 24.7,-20 57
NGC2384,cluster,7.4,2.5',07 25.2,-21 01
NGC2392,nebula,8.6,47'',07 29.2,+20 55
NGC2395,cluster,8,12',07 27.2,+13 37
NGC2403,Galaxy,8.5,23.4',07 36.8,+65 36
NGC2419,cluster,10.4,6.2',07 38.1,+38 53
NGC2420,cluster,8.3,10',07 38.4,+21 34
NGC2421,cluster,8.3,10',07 36.2,-20 37
NGC2423,cluster,6.7,19',07 37.1,-13 52
NGC2438,nebula,11,65'',07 41.8,-14 44
NGC2439,cluster,6.9,10',07 40.8,-31 42
NGC2440,nebula,11.5,54'',07 41.9,-18 13
NGC2467,nebula,7.1,15',07 52.5,-26 26
NGC2477,cluster,5.8,27',07 52.2,-38 32
NGC2479,cluster,9.6,7',07 55.1,-17 42
NGC2482,cluster,7.3,12',07 55.2,-24 15
NGC2489,cluster,7.9,8',07 56.3,-30 04
NGC2506,cluster,7.6,7',08 00.0,-10 46
NGC2509,cluster,9.3,8',08 00.8,-19 03
NGC2527,cluster,6.5,22',08 05.0,-28 09
NGC2539,cluster,6.5,22',08 10.6,-12 49
NGC2547,cluster,4.7,20',08 10.2,-49 12
